passage,distance,corrected_distance,x_val,the calculated middle of the street,,
13,-1,0,0,,,
14,3.334,4.334,-4.334,1.167,,2.167
15,5.6,6.6,-6.6,,,
16,9.003,10.003,-10.003,7.3015,6.1345,8.3015
17,11.292,12.292,-12.292,,,
18,14.687,15.687,-15.687,12.9895,5.688,13.9895
19,17.047,18.047,-18.047,,,
20,20.347,21.347,-21.347,18.697,5.7075,19.697
21,22.603,23.603,-23.603,,,
22,26.074,27.074,-27.074,24.3385,5.6415,25.3385
23,28.385,29.385,-29.385,,,
24,31.764,32.764,-32.764,30.0745,5.736,31.0745
25,34.033,35.033,-35.033,,,
26,37.637,38.637,-38.637,35.835,5.7605,36.835
27,40,41,-41,,,
28,43.571,44.571,-44.571,41.7855,5.9505,42.7855
29,45.884,46.884,-46.884,,,
30,49.357,50.357,-50.357,47.6205,5.835,48.6205
31,51.59,52.59,-52.59,,,
32,55.125,56.125,-56.125,53.3575,5.737,54.3575
33,57.44,61.877,-61.877,,,
34,60.877,64.174,-64.174,59.1585,5.801,60.1585
35,63.174,67.56,-67.56,,,
36,66.56,69.898,-69.898,64.867,5.7085,65.867
37,68.898,69.898,-69.898,,,
38,72.263,73.263,-73.263,70.5805,5.7135,71.5805
