passage,distance,corrected_distance,x_val
13,-1,0,0
14,3.334,4.334,-4.334
15,5.6,6.6,-6.6
16,9.003,10.003,-10.003
17,11.292,12.292,-12.292
18,14.687,15.687,-15.687
19,17.047,18.047,-18.047
20,20.347,21.347,-21.347
21,22.603,23.603,-23.603
22,26.074,27.074,-27.074
23,28.385,29.385,-29.385
24,31.764,32.764,-32.764
25,34.033,35.033,-35.033
26,37.637,38.637,-38.637
27,40,41,-41
28,43.571,44.571,-44.571
29,45.884,46.884,-46.884
30,49.357,50.357,-50.357
31,51.59,52.59,-52.59
32,55.125,56.125,-56.125
33,60.877,61.877,-61.877
34,63.174,64.174,-64.174
35,66.56,67.56,-67.56
36,68.898,69.898,-69.898
37,68.898,69.898,-69.898
38,72.263,73.263,-73.263
